"","depth_mm","Ca"
"2668",261.975,562.639130434783
"2669",262.075,577.24347826087
"2670",262.175,570.382608695652
"2671",262.275,573.504347826087
"2672",262.375,581.95652173913
"2673",262.475,565.173913043478
"2674",262.575,585.482608695652
"2675",262.675,571.360869565217
"2676",262.775,581.234782608696
"2677",262.875,578.434782608696
"2678",262.975,574.604347826087
"2679",263.075,577.013043478261
"2680",263.175,576.295652173913
"2681",263.275,595.013043478261
"2682",263.375,587.869565217391
"2683",263.475,571.682608695652
"2684",263.575,582.304347826087
"2685",263.675,570.552173913043
"2686",263.775,563.169565217391
"2687",263.875,580.665217391304
"2688",263.975,575.652173913043
"2689",264.075,565.221739130435
"2690",264.175,546.591304347826
"2691",264.275,552.065217391304
"2692",264.375,544.947826086957
"2693",264.475,530.626086956522
"2694",264.575,536.334782608696
"2695",264.675,517.034782608696
"2696",264.775,514.647826086957
"2697",264.875,504.039130434783
"2698",264.975,494.860869565217
"2699",265.075,486.965217391304
"2700",265.175,480.530434782609
"2701",265.275,476.35652173913
"2702",265.375,462.3
"2703",265.475,446.269565217391
"2704",265.575,437.973913043478
"2705",265.675,407.673913043478
"2706",265.775,416.804347826087
"2707",265.875,414.808695652174
"2708",265.975,398.382608695652
"2709",266.075,376.895652173913
"2710",266.175,358.821739130435
"2711",266.275,348.491304347826
"2712",266.375,336.434782608696
"2713",266.475,316.230434782609
"2714",266.575,316.782608695652
"2715",266.675,300.5
"2716",266.775,296.960869565217
"2717",266.875,284.482608695652
"2718",266.975,261.613043478261
"2719",267.075,266.934782608696
"2720",267.175,271.365217391304
"2721",267.275,278.091304347826
"2722",267.375,273.44347826087
"2723",267.475,265.121739130435
"2724",267.575,276.786956521739
"2725",267.675,270.004347826087
"2726",267.775,276.073913043478
"2727",267.875,276.973913043478
"2728",267.975,273.082608695652
"2729",268.075,285.286956521739
"2730",268.175,287.14347826087
"2731",268.275,289.5
"2732",268.375,284.860869565217
"2733",268.475,289.534782608696
"2734",268.575,284.352173913043
"2735",268.675,273.630434782609
"2736",268.775,269.786956521739
"2737",268.875,273.973913043478
"2738",268.975,274.234782608696
"2739",269.075,272.573913043478
"2740",269.175,252.939130434783
"2741",269.275,257.560869565217
"2742",269.375,260.804347826087
"2743",269.475,260.665217391304
"2744",269.575,263.982608695652
"2745",269.675,248.386956521739
"2746",269.775,246.352173913043
"2747",269.875,255.878260869565
"2748",269.975,245.634782608696
"2749",270.075,248.865217391304
"2750",270.175,258.730434782609
"2751",270.275,265.126086956522
"2752",270.375,272.230434782609
"2753",270.475,265.113043478261
"2754",270.575,277.873913043478
"2755",270.675,273.182608695652
"2756",270.775,258.969565217391
"2757",270.875,249.913043478261
"2758",270.975,249.839130434783
"2759",271.075,249.886956521739
"2760",271.175,232.613043478261
"2761",271.275,238.147826086957
"2762",271.375,242.895652173913
"2763",271.475,239.339130434783
"2764",271.575,244.378260869565
"2765",271.675,225.521739130435
"2766",271.775,226.778260869565
"2767",271.875,232.4
"2768",271.975,230.14347826087
"2769",272.075,230.260869565217
"2770",272.175,236.14347826087
"2771",272.275,227.969565217391
"2772",272.375,218.365217391304
"2773",272.475,214.469565217391
"2774",272.575,220.813043478261
"2775",272.675,211.85652173913
"2776",272.775,216.360869565217
"2777",272.875,221.521739130435
"2778",272.975,224.391304347826
"2779",273.075,224.739130434783
"2780",273.175,220.508695652174
"2781",273.275,224.517391304348
"2782",273.375,231.147826086957
"2783",273.475,228.634782608696
"2784",273.575,236.404347826087
"2785",273.675,224.091304347826
"2786",273.775,225.317391304348
"2787",273.875,237.091304347826
"2788",273.975,228.121739130435
"2789",274.075,231.95652173913
"2790",274.175,235.1
"2791",274.275,244.05652173913
"2792",274.375,241.952173913043
"2793",274.475,233.65652173913
"2794",274.575,236.504347826087
"2795",274.675,226.013043478261
"2796",274.775,230.904347826087
"2797",274.875,233.021739130435
"2798",274.975,233.55652173913
"2799",275.075,234.3
"2800",275.175,242.786026200873
"2801",275.275,238.210526315789
"2802",275.375,239.38864628821
"2803",275.475,236.947826086957
"2804",275.575,249.473913043478
"2805",275.675,247.386956521739
"2806",275.775,248.852173913043
"2807",275.875,258.660869565217
"2808",275.975,250.186956521739
"2809",276.075,249.882608695652
"2810",276.175,249.973913043478
"2811",276.275,252.986956521739
"2812",276.375,263.221739130435
"2813",276.475,263.617391304348
"2814",276.575,266.404347826087
"2815",276.675,277.304347826087
"2816",276.775,284.486956521739
"2817",276.875,293.85652173913
"2818",276.975,315.560869565217
"2819",277.075,348.817391304348
"2820",277.175,371.304347826087
"2821",277.275,370.573913043478
"2822",277.375,377.091304347826
"2823",277.475,385.534782608696
"2824",277.575,404.608510638298
"2825",277.675,400.351239669421
"2826",277.775,412.268292682927
"2827",277.875,422.313253012048
"2828",277.975,415.110236220472
"2829",278.075,436.90625
"2830",278.175,452.529182879377
"2831",278.275,464.488372093023
"2832",278.375,474.567567567568
"2833",278.475,483.338461538462
"2834",278.575,501.231939163498
"2835",278.675,506.392452830189
"2836",278.775,506.376865671642
"2837",278.875,511.223443223443
"2838",278.975,509.476534296029
"2839",279.075,504.642857142857
"2840",279.175,500.475177304965
"2841",279.275,505.411971830986
"2842",279.375,504.503401360544
"2843",279.475,497.573825503356
"2844",279.575,510.926910299003
"2845",279.675,500.660066006601
"2846",279.775,496.764705882353
"2847",279.875,491.511326860841
"2848",279.975,483.666666666667
"2849",280.075,490.257961783439
"2850",280.175,482.430817610063
"2851",280.275,485.555900621118
"2852",280.375,482.44
"2853",280.475,463.201807228916
"2854",280.575,462.119047619048
"2855",280.675,457.752212389381
"2856",280.775,460.206997084548
"2857",280.875,462.933717579251
"2858",280.975,455.031339031339
"2859",281.075,463.016949152542
"2860",281.175,454.216292134831
"2861",281.275,457.491666666667
"2862",281.375,455.072022160665
"2863",281.475,441.073770491803
"2864",281.575,458.472826086957
"2865",281.675,455.466307277628
"2866",281.775,452.57908847185
"2867",281.875,462.229946524064
"2868",281.975,461.976063829787
"2869",282.075,454.608465608466
"2870",282.175,446.724409448819
"2871",282.275,454.263707571802
"2872",282.375,453.207792207792
"2873",282.475,450.10621761658
"2874",282.575,458.775773195876
"2875",282.675,451.569230769231
"2876",282.775,445.865139949109
"2877",282.875,447.83879093199
"2878",282.975,442.760705289673
"2879",283.075,444.052369077307
"2880",283.175,433.928746928747
"2881",283.275,439.628019323671
"2882",283.375,433.912529550827
"2883",283.475,427.58123569794
"2884",283.575,429.54954954955
"2885",283.675,419.779510022272
"2886",283.775,419.110375275938
